title,episodes,score,num_votes,air_start,air_end,genres,producers,studios,status
Idol Densetsu Eriko,51.0,6.92,518,1989-04-03,1990-03-26,['Music'],"['Youmex', 'Big West']",['Production Reed'],Finished Airing
Koutetsu Tenshi Kurumi,24.0,6.92,7197,1999-10-05,2000-04-04,"['Adventure', 'Comedy', 'Drama', 'Historical', 'Mecha', 'Military', 'Romance', 'Shounen']",['Pony Canyon'],"['OLM', 'Production Reed']",Finished Airing
Kono Minikuku mo Utsukushii Sekai,12.0,6.92,21532,2004-04-02,2004-06-18,"['Sci-Fi', 'Comedy', 'Drama', 'Magic', 'Romance']","['Geneon Universal Entertainment', 'TBS', 'Rondo Robe', 'Movic']","['Gainax', 'Shaft']",Finished Airing
Heroman,26.0,6.92,8945,2010-04-01,2010-09-23,"['Action', 'Sci-Fi', 'Shounen']","['TV Tokyo', 'Dentsu', 'Square Enix']",['Bones'],Finished Airing
Happiness Charge Precure!,49.0,6.92,1658,2014-02-02,2015-01-25,"['Action', 'Fantasy', 'Magic', 'Shoujo']",[],['Toei Animation'],Finished Airing
Dragon Crisis!,12.0,6.92,53531,2011-01-11,2011-03-29,"['Action', 'Magic', 'Romance', 'School', 'Seinen', 'Supernatural']","['Yomiuri Telecasting Corporation', 'Starchild Records', 'Kids Station', 'DAX Production', 'Shueisha']",['Studio Deen'],Finished Airing
Brave Witches,12.0,6.92,5583,2016-10-06,2016-12-29,"['Action', 'Ecchi', 'Magic', 'Military', 'Sci-Fi']","['Kadokawa Shoten', 'Nippon Columbia', 'KlockWorx', 'Glovision', 'Sony PCL', 'Kadokawa Media House', 'Sanyo Bussan']",['Silver Link.'],Finished Airing
Tytania,26.0,6.93,5169,2008-10-09,2009-03-26,"['Adventure', 'Military', 'Psychological', 'Romance', 'Sci-Fi', 'Space']","['Kodansha', 'Sogo Vision', 'Magic Capsule', 'Happinet Pictures', 'Sony PCL']",['Artland'],Finished Airing
Andes Shounen Pepero no Bouken,26.0,6.92,160,1975-10-06,1976-03-29,['Adventure'],['Wako Productions'],[],Finished Airing
Metal Fight Beyblade 4D,52.0,6.93,3304,2011-04-03,2012-04-01,"['Adventure', 'Sports']",[],['SynergySP'],Finished Airing
Mahou Shoujo Pretty Sammy (1996),26.0,6.93,1104,1996-10-04,1997-03-28,"['Comedy', 'Fantasy', 'Magic', 'Parody', 'Seinen']","['APPP', 'Pioneer LDC', 'Studio Tulip']",['AIC'],Finished Airing
Sengoku Majin Goushougun,26.0,6.93,215,1981-07-03,1981-12-28,"['Mecha', 'Parody', 'Sci-Fi']",['TV Tokyo'],['Production Reed'],Finished Airing
Mirai Keisatsu Urashiman,50.0,6.93,192,1983-01-09,1983-12-24,"['Police', 'Comedy', 'Sci-Fi']",['Fuji TV'],['Tatsunoko Production'],Finished Airing
Mitsume ga Tooru,48.0,6.93,93,1990-10-18,1991-09-26,['Adventure'],['Tezuka Productions'],[],Finished Airing
Fireball Charming,13.0,6.93,3194,2011-04-04,2011-06-27,['Sci-Fi'],['Walt Disney Studios'],['Jinnis Animation Studios'],Finished Airing
Blade of the Immortal,13.0,6.93,15635,2008-07-14,2008-12-29,"['Action', 'Adventure', 'Historical', 'Samurai', 'Supernatural']","['Bee Train', 'Kodansha']",['Production I.G'],Finished Airing
I My Me! Strawberry Eggs,13.0,6.93,14062,2001-07-04,2001-09-26,"['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life']",['Pioneer LDC'],['TNK'],Finished Airing
Bakuretsu Tenshi,24.0,6.93,22288,2004-04-07,2004-09-15,"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']","['GDH', 'TV Asahi', 'Imagica']",['Gonzo'],Finished Airing
Chou Denji Robo Combattler V,54.0,6.93,500,1976-04-17,1977-05-28,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",['Studio Nue'],"['Sunrise', 'Toei Animation']",Finished Airing
D.C.: Da Capo,26.0,6.93,22331,2003-07-05,2003-12-27,"['Harem', 'Drama', 'Magic', 'Romance']",['Lantis'],"['feel.', 'Zexcs']",Finished Airing
Argento Soma,25.0,6.93,3899,2000-10-06,2001-03-22,"['Action', 'Adventure', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",[],['Sunrise'],Finished Airing
Youkai Watch,,6.94,2305,2014-01-08,,"['Comedy', 'Kids', 'Supernatural']",[],['OLM'],Currently Airing
Arashi no Yoru ni: Himitsu no Tomodachi,26.0,6.93,367,2012-04-04,2012-09-26,"['Adventure', 'Drama']","['Bandai Visual', 'Dentsu', 'TV Osaka', 'MediaNet', 'AT-X', 'Duckbill Entertainment', 'Baku Enterprise']",['Sparky Animation'],Finished Airing
Akakichi no Eleven,52.0,6.93,259,1970-04-13,1971-04-05,['Sports'],"['TV Tokyo', 'DOGA Productions']",[],Finished Airing
Sasuke,29.0,6.94,94,1968-09-03,1969-03-25,"['Action', 'Martial Arts', 'Historical', 'Shounen']",['Tele-Cartoon Japan'],[],Finished Airing
Miyuki,37.0,6.94,360,1983-03-31,1984-04-20,"['Romance', 'School']",['Kitty Films'],[],Finished Airing
Shuumatsu no Izetta,12.0,6.94,25910,2016-10-01,2016-12-17,"['Action', 'Military', 'Historical']","['Shochiku', 'AT-X', 'Asahi Production', 'flying DOG', 'Tokyo MX', 'i0+', 'Wargaming Japan', 'JTB Entertainment', 'RAY']",['Ajia-Do'],Finished Airing
Majutsushi Orphen: Revenge,23.0,6.94,4090,1999-10-02,2000-03-26,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']","['Kadokawa Shoten', 'TBS']",['J.C.Staff'],Finished Airing
Suteki Tantei Labyrinth,25.0,6.94,1390,2007-10-03,2008-03-26,"['Mystery', 'Sci-Fi']",['Sotsu'],['Studio Deen'],Finished Airing
Majimoji Rurumo,12.0,6.94,18191,2014-07-09,2014-09-24,"['Ecchi', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shounen']","['Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production', 'Bushiroad']",['J.C.Staff'],Finished Airing
Manga Sarutobi Sasuke,24.0,6.94,238,1979-10-09,1980-04-15,"['Adventure', 'Comedy', 'Historical', 'Supernatural']",['Knack Productions'],[],Finished Airing
Mahoutsukai Tai!,13.0,6.94,2096,1999-07-07,1999-10-06,"['Sci-Fi', 'Comedy', 'Magic', 'Romance', 'School']","['Bandai Visual', 'Triangle Staff']","['Madhouse', 'Production Reed']",Finished Airing
Kill Me Baby,13.0,6.94,23811,2012-01-06,2012-03-30,"['Comedy', 'School', 'Seinen']","['Pony Canyon', 'TBS', 'Magic Capsule']",['J.C.Staff'],Finished Airing
Hyakujuu-Ou GoLion,52.0,6.94,3021,1981-03-04,1982-02-24,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",[],['Toei Animation'],Finished Airing
Kaitou Joker,13.0,6.94,2045,2014-10-06,2015-01-05,"['Adventure', 'Comedy', 'Mystery', 'Shounen']","['Asatsu DK', 'Tokyo MX']",['Shin-Ei Animation'],Finished Airing
Innocent Venus,12.0,6.94,8166,2006-07-27,2006-10-26,"['Adventure', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",['Bandai Visual'],"[""Brain's Base""]",Finished Airing
Binbou Shimai Monogatari,10.0,6.94,4255,2006-06-30,2006-09-15,"['Slice of Life', 'Comedy', 'Drama', 'Seinen']",['TV Asahi'],['Toei Animation'],Finished Airing
El Hazard: The Alternative World,13.0,6.94,3435,1998-01-08,1998-03-26,"['Adventure', 'Comedy', 'Fantasy']",['Pioneer LDC'],['AIC'],Finished Airing
Teekyuu 3,12.0,6.95,7967,2013-10-06,2013-12-22,"['Comedy', 'School', 'Shounen', 'Sports']","['DAX Production', 'Earth Star Entertainment']",['MAPPA'],Finished Airing
Suki na Mono wa Suki Dakara Shou ga Nai!!,12.0,6.95,16125,2005-01-09,2005-03-27,"['Comedy', 'Drama', 'Romance', 'Shoujo', 'Shounen Ai', 'Slice of Life']","['Bandai Visual', 'Lantis', 'Movic']",['Zexcs'],Finished Airing
Silent Mobius,26.0,6.95,2988,1998-01-29,1998-04-07,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Horror', 'Magic', 'Romance', 'Sci-Fi']","['Sotsu', 'Radix']",[],Finished Airing
Shin Tenchi Muyou!,26.0,6.95,12463,1997-04-01,1997-09-23,"['Comedy', 'Harem', 'Romance', 'Sci-Fi', 'Shounen']","['AIC', 'Pioneer LDC']",[],Finished Airing
Shutsugeki! Machine Robo Rescue,53.0,6.95,237,2003-01-08,2004-01-03,"['Action', 'Mecha', 'Sci-Fi']","['TV Tokyo', 'Bandai Visual', 'Lantis']",['Sunrise'],Finished Airing
Sengoku Basara: Judge End,12.0,6.95,5444,2014-07-06,2014-09-28,"['Action', 'Super Power', 'Martial Arts', 'Samurai', 'Historical']","['VAP', 'Nippon Television Network Corporation']",['Telecom Animation Film'],Finished Airing
Seton Doubutsuki,45.0,6.95,57,1989-10-14,1990-12-22,"['Adventure', 'Fantasy']",[],[],Finished Airing
Seiken no Blacksmith,12.0,6.95,43812,2009-10-03,2009-12-19,"['Action', 'Adventure', 'Fantasy']","['Media Factory', 'AT-X', 'Earth Star Entertainment']",['Manglobe'],Finished Airing
Lamune,12.0,6.95,13402,2005-10-11,2005-12-27,"['Drama', 'Romance', 'Slice of Life']",['Radix'],"['Trinet Entertainment', 'Picture Magic']",Finished Airing
Ring ni Kakero 1: Sekai Taikai-hen,6.0,6.95,136,2011-04-10,2011-06-12,['Sports'],[],['Toei Animation'],Finished Airing
Kinnikuman II Sei,51.0,6.95,3392,2002-01-09,2002-12-25,"['Action', 'Sci-Fi', 'Comedy', 'Sports', 'Martial Arts', 'Shounen']","['TV Tokyo', 'Yomiuri Advertising']",['Toei Animation'],Finished Airing
Pygmalio,39.0,6.95,227,1990-11-05,1991-09-16,"['Adventure', 'Fantasy']",['TV Tokyo'],['Nippon Animation'],Finished Airing
Ikkitousen: Xtreme Xecutor,12.0,6.95,12399,2010-03-26,2010-06-11,"['Action', 'Ecchi', 'Martial Arts', 'School', 'Super Power']",['Genco'],"['Arms', 'TNK']",Finished Airing
Ikkitousen: Great Guardians,12.0,6.95,18443,2008-06-11,2008-08-27,"['Action', 'Ecchi', 'Martial Arts', 'School', 'Super Power']","['Genco', 'Media Factory', 'AT-X', 'Showgate', 'Toranoana', 'Zack Promotion']",['Arms'],Finished Airing
Dr. Rin ni Kiitemite!,51.0,6.95,457,2001-03-05,2002-02-25,"['Comedy', 'Fantasy', 'Magic', 'Romance', 'School', 'Shoujo']",['Nihon Ad Systems'],['Studio Comet'],Finished Airing
Hime Chen! Otogi Chikku Idol Lilpri (2011),51.0,6.95,143,2011-04-06,2012-03-28,"['Magic', 'Shoujo']",['Shogakukan Music &amp; Digital Entertainment'],['Telecom Animation Film'],Finished Airing
Gunparade March: Arata Naru Kougunka,12.0,6.95,4252,2003-02-06,2003-04-24,"['Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Shounen', 'Slice of Life']","['Rondo Robe', 'd-rights']",['J.C.Staff'],Finished Airing
Denpa Kyoushi (TV),24.0,6.95,26463,2015-04-04,2015-09-26,"['Comedy', 'Romance', 'School', 'Shounen']",['Yomiuri Telecasting Corporation'],['A-1 Pictures'],Finished Airing
"Dakara Boku wa, H ga Dekinai.",12.0,6.95,95445,2012-07-06,2012-09-25,"['Comedy', 'Ecchi', 'Romance', 'Supernatural']","['Geneon Universal Entertainment', 'Sotsu', 'Lantis', 'AT-X', 'KlockWorx']",['feel.'],Finished Airing
Yozakura Quartet,12.0,6.96,21017,2008-10-03,2008-12-19,"['Action', 'Magic', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']",['TBS'],['Nomad'],Finished Airing
To Be Hero,12.0,6.96,7413,2016-10-05,2016-12-21,['Comedy'],['Emon'],['Haoliners Animation League'],Finished Airing
Agatha Christie no Meitantei Poirot to Marple,39.0,6.95,1070,2004-07-04,2005-05-15,"['Historical', 'Mystery']",[],['OLM'],Finished Airing
Ikkitousen: Dragon Destiny,12.0,6.96,24932,2007-02-26,2007-05-14,"['Action', 'Ecchi', 'Martial Arts', 'School', 'Super Power']","['Genco', 'Atelier Musa', 'Gigno Systems']",['Arms'],Finished Airing
Karasu Tengu Kabuto,39.0,6.96,199,1990-07-29,1991-06-30,"['Action', 'Adventure', 'Historical', 'Drama']",['KSS'],[],Finished Airing
Nekketsu Saikyou Go-Saurer,51.0,6.96,82,1993-03-03,1994-02-23,"['Action', 'Sci-Fi', 'Mecha']",['Yomiuri Advertising'],['Sunrise'],Finished Airing
Cheer Danshi!!,12.0,6.96,10010,2016-07-05,2016-09-27,"['Sports', 'School']","['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Tokyo MX', 'Shueisha', 'Sony PCL']","[""Brain's Base""]",Finished Airing
Shin Koihime†Musou,12.0,6.96,8306,2009-10-05,2009-12-21,"['Comedy', 'Ecchi', 'Fantasy', 'Historical']",['Marvelous Entertainment'],['Doga Kobo'],Finished Airing
F,31.0,6.96,204,1988-03-09,1988-12-23,"['Cars', 'Sports', 'Shounen']","['Kitty Films', 'Fuji TV']",['Studio Deen'],Finished Airing
Brave 10,12.0,6.96,42875,2012-01-08,2012-03-25,"['Action', 'Adventure', 'Historical', 'Super Power', 'Samurai', 'Seinen']","['Media Factory', 'Studio Saki Makura']",['TMS Entertainment'],Finished Airing
Battle Spirits: Burning Soul,51.0,6.96,373,2015-04-01,2016-03-30,"['Action', 'Kids']",[],['Bandai Namco Pictures'],Finished Airing
Super Robot Taisen OG: Divine Wars,25.0,6.97,2052,2006-10-05,2007-03-29,"['Action', 'Mecha', 'Sci-Fi']","['GDH', 'Sotsu', 'Genco', 'Banpresto']",['OLM'],Finished Airing
Shinkyoku Soukai Polyphonica,12.0,6.97,7586,2007-04-04,2007-06-20,"['Drama', 'Fantasy', 'Music', 'Romance', 'School']","['Lantis', 'Pony Canyon', 'TBS', 'Movic', 'Magic Capsule', 'SoftBank Creative Corp.', 'Memory-Tech', 'T.O Entertainment', 'Fuji Creative Corporation']",['Ginga Ya'],Finished Airing
Stella no Mahou,12.0,6.97,5429,2016-10-03,2016-12-19,"['Slice of Life', 'Comedy', 'School']","['Kadokawa Shoten', 'AT-X', 'flying DOG', 'Houbunsha', 'Hakuhodo DY Music &amp; Pictures']",['Silver Link.'],Finished Airing
Pretty Rhythm: Dear My Future,51.0,6.97,988,2012-04-07,2013-03-30,"['Slice of Life', 'Sports', 'Music', 'Shoujo']",[],"['Tatsunoko Production', 'Dongwoo A&amp;E']",Finished Airing
Astroganger,26.0,6.96,206,1972-10-04,1973-03-28,"['Action', 'Mecha', 'Sci-Fi']",['Knack Productions'],['Toei Animation'],Finished Airing
Kousoku Denjin Albegus,45.0,6.97,260,1983-03-30,1984-02-29,['Mecha'],[],['Toei Animation'],Finished Airing
Maple Town Monogatari,52.0,6.97,355,1986-01-19,1987-01-11,"['Fantasy', 'Slice of Life']",[],['Toei Animation'],Finished Airing
Muka Muka Paradise,51.0,6.97,652,1993-09-04,1994-08-26,"['Adventure', 'Comedy']",[],['Nippon Animation'],Finished Airing
Mamotte! Lollipop,13.0,6.97,5676,2006-07-02,2006-09-24,"['Adventure', 'Comedy', 'Magic', 'Romance', 'Shoujo']",['Delfi Sound'],['Studio Comet'],Finished Airing
Juuni Senshi Bakuretsu Eto Ranger,39.0,6.97,284,1995-04-07,1996-01-26,"['Action', 'Fantasy', 'Comedy']",[],['Shaft'],Finished Airing
Keroro,23.0,6.97,1150,2014-03-22,2014-09-06,"['Comedy', 'Sci-Fi', 'Shounen']",[],['Sunrise'],Finished Airing
Dokkoida,12.0,6.97,1362,2003-07-05,2003-09-20,"['Action', 'Adventure', 'Comedy', 'Parody', 'Sci-Fi', 'Shounen']","['Media Factory', 'KlockWorx', 'Memory-Tech', 'Toshiba Entertainment']",['ufotable'],Finished Airing
Ao no Kanata no Four Rhythm,12.0,6.97,29244,2016-01-12,2016-03-29,"['Drama', 'School', 'Sci-Fi', 'Sports']","['TV Tokyo', 'Pony Canyon', 'AT-X', 'DLE', 'NBCUniversal Entertainment Japan', 'Docomo Anime Store', 'bilibili', 'Kanon Sound', 'Hobibox']",['Gonzo'],Finished Airing
Happy☆Lesson: Advance,13.0,6.97,4664,2003-07-03,2003-09-28,"['Comedy', 'Harem', 'Romance', 'Slice of Life']","['KSS', 'Studio Jack']",['Studio Hibari'],Finished Airing
Jewelpet Happiness,52.0,6.97,254,2013-04-06,2014-03-29,"['Fantasy', 'Magic', 'Shoujo']","['TV Tokyo', 'Sotsu']",['Studio Comet'],Finished Airing
Senkou no Night Raid,13.0,6.98,8373,2010-04-06,2010-06-29,"['Action', 'Military', 'Historical', 'Super Power']","['TV Tokyo', 'Aniplex']",['A-1 Pictures'],Finished Airing
Nourin,12.0,6.98,35394,2014-01-11,2014-03-29,"['Comedy', 'Romance', 'Ecchi', 'School']",['Frontier Works'],['Silver Link.'],Finished Airing
Uchuusen Sagittarius,77.0,6.98,112,1986-01-10,1987-10-03,"['Sci-Fi', 'Adventure']",[],['Nippon Animation'],Finished Airing
Samurai Flamenco,22.0,6.99,28370,2013-10-11,2014-03-28,"['Action', 'Comedy', 'Parody']","['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Kyoraku Industrial Holdings', 'DeNA']",['Manglobe'],Finished Airing
Onihei,13.0,7.0,1487,2017-01-10,2017-04-04,"['Historical', 'Seinen']","['TV Tokyo', 'TMS Entertainment']",['M2'],Currently Airing
NieA Under 7,13.0,6.99,5809,2000-04-26,2000-07-19,"['Comedy', 'Sci-Fi', 'Slice of Life']","['Shaft', 'Genco', 'Kadokawa Shoten', 'SynergySP', 'Pioneer LDC']",['Triangle Staff'],Finished Airing
Pokemon Housoukyoku,16.0,6.99,8247,2002-12-03,2004-09-28,"['Adventure', 'Comedy', 'Kids', 'Fantasy']",[],['OLM'],Finished Airing
Juushin Enbu: Hero Tales,26.0,6.99,6410,2007-10-08,2008-03-31,"['Action', 'Fantasy', 'Shounen']","['Square Enix', 'Genco', 'Tohokushinsha Film Corporation']",['Studio Flag'],Finished Airing
Norimono Oukoku BuBu ChaCha,26.0,6.99,143,1999-04-29,1999-11-25,"['Slice of Life', 'Comedy']",[],['Daume'],Finished Airing
Futari wa Precure,49.0,6.99,7114,2004-02-01,2005-01-30,"['Action', 'Comedy', 'Magic', 'Fantasy', 'Shoujo']","['Asatsu DK', 'Asahi Production', 'Asahi Broadcasting Corporation']",['Toei Animation'],Finished Airing
Majime ni Fumajime Kaiketsu Zorori,97.0,6.99,121,2005-02-13,2007-01-28,"['Adventure', 'Kids']",['Nagoya TV Housou'],['Ajia-Do'],Finished Airing
Ninpuu Kamui Gaiden,26.0,6.99,104,1969-04-06,1969-09-28,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Samurai']",['Fuji TV'],['Tele-Cartoon Japan'],Finished Airing
Buzzer Beater 2nd Season,13.0,6.99,2548,2007-07-04,2007-09-26,"['Action', 'Sci-Fi', 'Shounen', 'Sports']",[],['TMS Entertainment'],Finished Airing
VS Knight Lamune & 40 Fire,26.0,7.0,406,1996-04-03,1996-09-25,"['Action', 'Comedy', 'Fantasy', 'Mecha', 'Shounen']",[],['Production Reed'],Finished Airing
Dear Boys,26.0,6.99,6372,2003-04-07,2003-09-29,"['Drama', 'Shounen', 'Sports']",['OB Planning'],['A.C.G.T.'],Finished Airing
Tsurupika Hagemaru-kun,59.0,7.0,168,1988-03-03,1989-08-30,"['Kids', 'Comedy']",['TV Asahi'],['Shin-Ei Animation'],Finished Airing
Recorder to Randoseru Re♪,13.0,7.0,10706,2012-04-04,2012-06-27,"['Slice of Life', 'Comedy', 'School', 'Seinen']",['Takeshobo'],['Seven'],Finished Airing
Osomatsu-kun,56.0,7.0,154,1966-02-05,1967-03-25,['Comedy'],['Mainichi Broadcasting System'],['Studio Zero'],Finished Airing
Overman King Gainer,26.0,7.0,2201,2002-09-07,2003-03-22,"['Action', 'Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",['WOWOW'],['Sunrise'],Finished Airing
Maburaho,24.0,7.0,33130,2003-10-14,2004-04-06,"['Comedy', 'Drama', 'Ecchi', 'Harem', 'Magic', 'Romance', 'School']","['Kadokawa Shoten', 'KlockWorx', 'Happinet Pictures', 'Sony PCL']",['J.C.Staff'],Finished Airing
Kishin Taisen Gigantic Formula,26.0,7.0,1506,2007-04-05,2007-09-27,"['Mecha', 'Sci-Fi']","['Bandai Visual', 'TV Tokyo Music']","[""Brain's Base""]",Finished Airing
Jungle Book Shounen Mowgli,52.0,7.0,1786,1989-10-09,1990-10-29,"['Adventure', 'Drama']",[],['Nippon Animation'],Finished Airing
Hakaba Kitarou,11.0,7.0,2266,2008-01-11,2008-03-21,"['Horror', 'Supernatural']","['Fuji TV', 'Sony Music Entertainment', 'Fuji Pacific Music Publishing']",['Toei Animation'],Finished Airing
Aoi Blink,39.0,7.0,395,1989-04-07,1990-03-16,"['Adventure', 'Fantasy']",['Tezuka Productions'],[],Finished Airing
Zetman,13.0,7.01,33997,2012-04-03,2012-06-26,"['Action', 'Drama', 'Horror', 'Romance', 'Sci-Fi', 'Seinen', 'Supernatural']","['TV Asahi', 'Asatsu DK', 'YTV', 'Toho', 'Sakura Create']",['TMS Entertainment'],Finished Airing
Wakaba*Girl,13.0,7.01,10536,2015-07-03,2015-09-25,"['Comedy', 'School', 'Slice of Life']","['Showgate', 'NBCUniversal Entertainment Japan']",['Nexus'],Finished Airing
Binchou-tan,12.0,7.0,2728,2006-02-02,2006-04-15,"['Slice of Life', 'Comedy']","['Bandai Visual', 'Frontier Works', 'TBS', 'Alchemist']",['Studio Deen'],Finished Airing
Sakura Taisen,25.0,7.01,4266,2000-04-08,2000-09-23,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']","['TBS', 'Sega']",['Madhouse'],Finished Airing
Seigi wo Aisuru Mono Gekkou Kamen,39.0,7.01,85,1972-01-10,1972-10-02,"['Action', 'Mystery']",['Knack Productions'],[],Finished Airing
Neo Angelique Abyss,13.0,7.01,9984,2008-04-07,2008-06-30,"['Fantasy', 'Comedy', 'Harem', 'Romance', 'Shoujo']",['Koei'],['Yumeta Company'],Finished Airing
Moshidora,10.0,7.01,6981,2011-04-25,2011-05-06,"['Drama', 'Sports']",['NHK'],['Production I.G'],Finished Airing
Kanamemo,13.0,7.01,9953,2009-07-06,2009-09-28,"['Ecchi', 'Comedy', 'Slice of Life', 'Shoujo Ai']","['Starchild Records', 'TV Tokyo Music']",['feel.'],Finished Airing
Hyakka Ryouran: Samurai Girls,12.0,7.01,49259,2010-09-04,2010-12-20,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Samurai', 'School']","['Genco', 'Lantis', 'Media Factory', 'Movic', 'Hobby Japan', 'Showgate', 'Gigno Systems']",['Arms'],Finished Airing
Tenpou Ibun: Ayakashi Ayashi,25.0,7.02,3016,2006-10-07,2007-03-31,"['Supernatural', 'Demons', 'Historical']","['Aniplex', 'Mainichi Broadcasting System']",['Bones'],Finished Airing
Chou Hatsumei Boy Kanipan,21.0,7.01,111,1999-02-05,1999-06-25,"['Adventure', 'Comedy', 'Mecha', 'Romance']",['Studio Comet'],[],Finished Airing
Tesagure! Bukatsumono Encore,12.0,7.02,694,2014-01-12,2014-03-30,"['Parody', 'School', 'Slice of Life']","['VAP', 'Bouncy']",[],Finished Airing
"Senki Zesshou Symphogear: Meteoroid-Falling, Burning, and Disappear, Then...",13.0,7.02,20000,2012-01-06,2012-03-30,"['Action', 'Music', 'Sci-Fi']","['Memory-Tech', 'Dwango', 'Bushiroad', 'Good Smile Company']","['Satelight', 'Encourage Films']",Finished Airing
TaoTao Ehonkan Sekai Doubutsu Banashi,52.0,7.02,322,1983-10-07,1985-04-09,"['Adventure', 'Fantasy', 'Comedy', 'Kids']",[],[],Finished Airing
Samurai Deeper Kyou,26.0,7.02,19369,2002-07-02,2002-12-23,"['Adventure', 'Comedy', 'Historical', 'Supernatural', 'Shounen']",['Starchild Records'],['Studio Deen'],Finished Airing
Princess Lover!,12.0,7.02,60904,2009-07-06,2009-09-21,"['Harem', 'Comedy', 'Ecchi', 'School']",['Dream Force'],['GoHands'],Finished Airing
Maji de Watashi ni Koi Shinasai!,12.0,7.02,56033,2011-10-02,2011-12-18,"['Harem', 'Comedy', 'Super Power', 'Romance', 'Ecchi', 'Martial Arts', 'School']",[],['Lerche'],Finished Airing
Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,13.0,7.02,2357,2006-07-08,2006-09-30,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Sci-Fi', 'Shoujo']","['Lantis', 'Media Factory', 'Koei']",['Satelight'],Finished Airing
Kinnikuman II Sei: Ultimate Muscle 2,13.0,7.02,1075,2006-01-04,2006-03-29,"['Action', 'Sci-Fi', 'Comedy', 'Sports', 'Martial Arts', 'Shounen']",[],['Toei Animation'],Finished Airing
Rinne no Lagrange,12.0,7.02,16673,2012-01-08,2012-03-25,"['Action', 'Sci-Fi', 'Comedy', 'Mecha']","['Production I.G', 'Bandai Visual', 'Yomiuri Telecasting Corporation', 'flying DOG', 'Dwango']",['Xebec'],Finished Airing
Mizuiro Jidai,47.0,7.02,366,1996-04-04,1997-02-27,"['Slice of Life', 'Shoujo']",['Studio Comet'],['Nippon Animation'],Finished Airing
Ginga Senpuu Braiger,39.0,7.02,179,1981-10-06,1982-06-30,"['Action', 'Sci-Fi', 'Adventure', 'Space', 'Mecha']",['Kokusai Eigasha'],['Toei Animation'],Finished Airing
Futakoi Alternative,13.0,7.02,8766,2005-04-07,2005-06-30,"['Comedy', 'Drama', 'Romance']",['Lantis'],"['ufotable', 'feel.', 'Studio Flag']",Finished Airing
Battle Athletess Daiundoukai (TV),26.0,7.02,1981,1997-10-03,1998-03-27,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Sports', 'Drama', 'School', 'Shounen']","['TV Tokyo', 'Genco', 'Pioneer LDC']",['AIC'],Finished Airing
Asu no Yoichi!,12.0,7.02,66410,2009-01-09,2009-03-27,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'Martial Arts', 'Shounen']","['Lantis', 'TBS', 'Movic']",['AIC'],Finished Airing
Daikuu Maryuu Gaiking,44.0,7.02,249,1976-04-01,1977-01-27,"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",['Dynamic Planning'],['Toei Animation'],Finished Airing
Garakuta-doori no Stain,13.0,7.02,281,2003-01-06,2003-03-25,['Comedy'],[],[],Finished Airing
Astro Boy: Tetsuwan Atom,50.0,7.02,4408,2003-04-06,2004-03-28,"['Action', 'Sci-Fi', 'Adventure', 'Super Power', 'Kids', 'Mecha', 'Shounen']","['Sony Pictures Entertainment', 'Dentsu']",['Tezuka Productions'],Finished Airing
Animal Yokochou,51.0,7.02,320,2005-10-04,2006-09-26,"['Adventure', 'Comedy', 'Fantasy', 'Shoujo']","['TV Tokyo', 'Geneon Universal Entertainment', 'Dentsu', 'TV Tokyo Music', 'Dentsu Tec']",['Studio Gallop'],Finished Airing
Tottoko Hamtarou,296.0,7.03,11465,2000-07-07,2006-03-31,"['Adventure', 'Comedy', 'Kids']","['TV Tokyo', 'Shogakukan Productions', 'Half H.P Studio']",['TMS Entertainment'],Finished Airing
White Album 2nd Season,13.0,7.03,10913,2009-10-03,2009-12-24,"['Drama', 'Harem', 'Music', 'Romance']",[],['Seven Arcs'],Finished Airing
Tantei Opera Milky Holmes,12.0,7.03,11547,2010-10-07,2010-12-23,"['Comedy', 'Super Power', 'Mystery']","['Sotsu', 'Lantis', 'Pony Canyon', 'Dwango', 'Bushiroad', 'Good Smile Company', 'Chrono Gear Creative']",['J.C.Staff'],Finished Airing
