title,episodes,score,num_votes,air_start,air_end,genres,producers,studios,status
Nisemonogatari,11.0,8.21,163170,2012-01-08,2012-03-18,"['Comedy', 'Mystery', 'Supernatural']","['Aniplex', 'Kodansha', 'Rakuonsha']",['Shaft'],Finished Airing
Mobile Suit Gundam 00 Second Season,25.0,8.21,57186,2008-10-05,2009-03-29,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Space', 'Drama']",['Mainichi Broadcasting System'],['Sunrise'],Finished Airing
Fairy Tail,175.0,8.21,315326,2009-10-12,2013-03-30,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']","['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production', 'Sakura Create']","['Satelight', 'A-1 Pictures']",Finished Airing
Princess Tutu,38.0,8.22,30598,2002-08-16,2003-05-23,"['Comedy', 'Fantasy', 'Magic', 'Romance']","['Memory-Tech', 'GANSIS', 'Marvelous AQL']",['Hal Film Maker'],Finished Airing
Tiger & Bunny,25.0,8.11,45841,2011-04-03,2011-09-18,"['Action', 'Mystery', 'Comedy', 'Super Power']","['Bandai Visual', 'Mainichi Broadcasting System', 'Tohokushinsha Film Corporation']",['Sunrise'],Finished Airing
Ookiku Furikabutte,25.0,8.11,21773,2007-04-13,2007-09-28,"['Comedy', 'Sports']","['Aniplex', 'Mainichi Broadcasting System', 'TBS', 'Kodansha', 'Movic', 'Rakuonsha']",['A-1 Pictures'],Finished Airing
Kimi to Boku. 2,13.0,8.11,23469,2012-04-03,2012-06-26,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Slice of Life']","['TV Tokyo', 'Aniplex', 'Square Enix', 'Nihon Ad Systems', 'Movic', 'Kimi To Boku Production Partners']",['J.C.Staff'],Finished Airing
Jormungand: Perfect Order,12.0,8.03,48103,2012-10-10,2012-12-26,"['Action', 'Adventure', 'Seinen']","['Geneon Universal Entertainment', 'Shogakukan Productions']",['White Fox'],Finished Airing
Higashi no Eden,11.0,8.03,148871,2009-04-10,2009-06-19,"['Action', 'Sci-Fi', 'Mystery', 'Comedy', 'Drama', 'Romance', 'Thriller']","['Fuji TV', 'Asmik Ace Entertainment', 'Sony Music Entertainment']",['Production I.G'],Finished Airing
Hataraku Maou-sama!,13.0,8.03,267872,2013-04-04,2013-06-27,"['Comedy', 'Demons', 'Romance', 'Fantasy', 'Shounen']","['Sotsu', 'Lantis', 'Pony Canyon', 'Magic Capsule', 'Infinite']",['White Fox'],Finished Airing
Hanasaku Iroha,26.0,8.03,68296,2011-04-03,2011-09-25,"['Slice of Life', 'Comedy', 'Drama', 'Seinen']","['Bandai Visual', 'Sotsu', 'Yomiuri Telecasting Corporation', 'Lantis', 'Pony Canyon', 'Showgate', 'Infinite']",['P.A. Works'],Finished Airing
Eikoku Koi Monogatari Emma: Molders-hen,12.0,8.03,5950,2007-04-17,2007-07-03,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']",[],['Ajia-Do'],Finished Airing
Ao no Exorcist: Kyoto Fujouou-hen,12.0,8.03,11377,2017-01-07,2017-03-25,"['Action', 'Demons', 'Supernatural', 'Fantasy', 'Shounen']","['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Shueisha']",['A-1 Pictures'],Currently Airing
Yuru Yuri San☆Hai!,12.0,8.04,24291,2015-10-06,2015-12-22,"['Comedy', 'School', 'Shoujo Ai', 'Slice of Life']","['Sotsu', 'Pony Canyon']",['TYO Animations'],Finished Airing
Super Lovers 2,,8.04,1604,2017-01-12,,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",[],['Studio Deen'],Currently Airing
Prince of Tennis,178.0,8.04,41443,2001-10-10,2005-03-23,"['Action', 'Comedy', 'School', 'Shounen', 'Sports']","['Production I.G', 'Nihon Ad Systems']",['Trans Arts'],Finished Airing
Overlord,13.0,8.04,148700,2015-07-07,2015-09-29,"['Action', 'Game', 'Adventure', 'Supernatural', 'Magic', 'Fantasy']","['Kadokawa Shoten', 'Grooove']",['Madhouse'],Finished Airing
Chuunibyou demo Koi ga Shitai!,12.0,7.95,240772,2012-10-04,2012-12-20,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']","['Lantis', 'Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",['Kyoto Animation'],Finished Airing
Bleach,366.0,7.95,346141,2004-10-05,2012-03-27,"['Action', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']","['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Studio Kelmadick', 'Shueisha']",['Studio Pierrot'],Finished Airing
City Hunter 3,13.0,7.95,3396,1989-10-15,1990-01-21,"['Action', 'Comedy', 'Mystery', 'Shounen']",[],['Sunrise'],Finished Airing
Uchouten Kazoku,13.0,7.96,24792,2013-07-07,2013-09-29,"['Comedy', 'Drama', 'Fantasy', 'Slice of Life']","['Bandai Visual', 'Lantis', 'YTV', 'Magic Capsule', 'Good Smile Company']",['P.A. Works'],Finished Airing
Chi's Sweet Home: Atarashii Ouchi,104.0,7.9,6463,2009-03-30,2009-09-24,"['Comedy', 'Kids', 'Slice of Life']",[],['Madhouse'],Finished Airing
Bishoujo Senshi Sailor Moon S,38.0,7.89,39270,1994-03-19,1995-02-25,"['Drama', 'Magic', 'Romance', 'Shoujo']",['TV Asahi'],['Toei Animation'],Finished Airing
Aoi Bungaku Series,12.0,7.89,31315,2009-10-11,2009-12-27,"['Psychological', 'Historical', 'Thriller', 'Drama', 'Seinen']","['Movic', 'Happinet Pictures', 'RAY']",['Madhouse'],Finished Airing
Ao Haru Ride,12.0,7.89,133080,2014-07-08,2014-09-23,"['Comedy', 'Drama', 'Romance', 'School', 'Shoujo', 'Slice of Life']","['Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha', 'BS11', 'Animatic', 'Hakuhodo DY Media Partners', 'Sony PCL']",['Production I.G'],Finished Airing
Yamada-kun to 7-nin no Majo (TV),12.0,7.9,116042,2015-04-12,2015-06-28,"['Harem', 'Mystery', 'Comedy', 'Supernatural', 'Romance', 'School', 'Shounen']","['Dentsu', 'Frontier Works', 'Kodansha', 'Rakuonsha', 'Ultra Super Pictures', 'Memory-Tech', 'Daiichikosho', 'Lawson HMV Entertainment', 'Amuse', 'Animatic', 'A-Sketch']",['LIDENFILMS'],Finished Airing
Nisekoi,20.0,7.9,207627,2014-01-11,2014-05-24,"['Harem', 'Comedy', 'Romance', 'School', 'Shounen']","['Aniplex', 'Mainichi Broadcasting System', 'Shueisha']",['Shaft'],Finished Airing
Michiko to Hatchin,22.0,7.9,29249,2008-10-16,2009-03-19,"['Action', 'Adventure']","['Media Factory', 'Shochiku', 'Yomiko Advertising', 'Fuji TV']",['Manglobe'],Finished Airing
Tegamibachi Reverse,25.0,7.9,16997,2010-10-03,2011-03-26,"['Adventure', 'Supernatural', 'Fantasy', 'Shounen']",['TV Tokyo'],['Studio Pierrot'],Finished Airing
Owari no Seraph: Nagoya Kessen-hen,12.0,7.83,114787,2015-10-10,2015-12-26,"['Action', 'Supernatural', 'Drama', 'Vampire', 'Shounen']",['NBCUniversal Entertainment Japan'],['Wit Studio'],Finished Airing
Baka to Test to Shoukanjuu,13.0,7.83,179863,2010-01-07,2010-04-01,"['Comedy', 'Romance', 'School', 'Super Power']","['Lantis', 'Media Factory', 'Cospa', 'T.O Entertainment']",['Silver Link.'],Finished Airing
AKB0048: Next Stage,13.0,7.83,12213,2013-01-06,2013-03-31,"['Music', 'Sci-Fi']",['Starchild Records'],['Satelight'],Finished Airing
Toaru Majutsu no Index II,24.0,7.84,106727,2010-10-08,2011-04-01,"['Action', 'Sci-Fi', 'Super Power', 'Magic']","['Geneon Universal Entertainment', 'Square Enix', 'AT-X', 'ASCII Media Works', 'Delfi Sound']",['J.C.Staff'],Finished Airing
Tales of Zestiria the X 2nd Season,12.0,7.84,3870,2017-01-08,2017-03-26,"['Action', 'Adventure', 'Fantasy']","['Bandai Visual', 'Lantis', 'Bandai Namco Entertainment', 'Anime Consortium Japan']",['ufotable'],Currently Airing
Space Cobra,31.0,7.84,2539,1982-10-07,1983-05-19,"['Action', 'Adventure', 'Sci-Fi', 'Space']",['Fuji TV'],['Tokyo Movie Shinsha'],Finished Airing
Gakuen Alice,26.0,7.79,29278,2004-10-30,2005-05-14,"['Comedy', 'Magic', 'School', 'Shoujo']","['Aniplex', 'Sogo Vision']",['Group TAC'],Finished Airing
Nobunaga Concerto,10.0,7.78,10908,2014-07-12,2014-09-20,"['Historical', 'Romance', 'Shounen']",['Pony Canyon'],['Fuji TV'],Finished Airing
