title,score,stdev,num_votes,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
Kogepan,6.986356340288925,1.8181288022913664,2492,30,25,35,97,269,442,626,490,242,236
Super Fishing Grander Musashi,7.090284592737978,1.5074866544075882,1019,3,2,6,36,83,192,326,199,105,67
Show By Rock!! #,7.047172967547675,1.6210340193620243,2989,20,18,36,107,250,504,933,637,269,215
Hoshizora e Kakaru Hashi,7.020435201541673,1.594861852835426,49816,201,342,683,1632,4601,8891,14962,10392,5073,3039
Mashin Eiyuuden Wataru 2,7.2,1.7492855684535904,180,2,0,5,7,12,19,58,39,21,17
Yu☆Gi☆Oh! Zexal Second,7.014795008912656,1.8884097193509362,5610,67,74,133,234,511,878,1468,1057,632,556
Saikyou Bushouden: Sangoku Engi,6.878787878787879,2.0598260555801833,132,4,3,1,7,12,18,37,24,12,14
Zettai Muteki Raijin-Oh,7.235294117647059,1.7175518250648452,187,2,0,1,4,25,22,52,41,17,23
Shouwa Monogatari,6.932748538011696,1.5199644915836854,1026,6,4,13,27,97,216,317,215,78,53
YAT Anshin! Uchuu Ryokou 2,7.217592592592593,1.4510104208538999,216,0,0,0,5,22,38,64,48,21,18
Cardfight!! Vanguard: Asia Circuit-hen,7.053987930190833,1.5791585227720244,6131,24,26,70,187,595,1108,1837,1243,622,419
A-Channel,6.962109401477665,1.5962917772691336,29506,167,228,416,985,2883,5163,8928,6428,2780,1528
Goal FH: Field Hunter,7.127478753541077,1.4971771891354637,353,1,0,2,9,34,65,111,69,36,26
Cardfight!! Vanguard G: GIRS Crisis-hen,7.056338028169014,1.6732133539959801,1278,11,7,22,40,102,221,393,266,108,108
Live On Cardliver Kakeru,6.956204379562044,2.0176904233207784,137,4,2,3,4,14,16,40,26,14,14
D.C.II: Da Capo II,7.021536717674683,1.6065072725637257,12351,51,100,181,439,1077,2072,3826,2627,1222,756
Devil Survivor 2 The Animation,7.008837078123531,1.7938078159737012,53185,344,575,1186,2641,4937,8192,13760,11143,6222,4185
Kannazuki no Miko,6.972985804491288,1.9083052354410233,21063,204,299,522,1126,2017,3304,5126,4031,2379,2055
Gokujou Seitokai,6.9259924197087575,1.6519121410854571,5013,25,42,82,199,545,839,1527,972,475,307
Rockman.EXE,7.003481831979288,1.5719753582567995,11201,32,64,142,371,1116,2003,3462,2290,986,735
Shinigami no Ballad.,7.012161892736094,1.6204394598094398,15047,72,105,210,499,1490,2660,4317,3202,1561,931
Shingeki! Kyojin Chuugakkou,6.945816587504567,1.7337654085119538,27370,249,274,497,1101,2548,4781,7935,5435,2536,2014
Rinne no Lagrange Season 2,7.044463537751047,1.5111937644966715,9311,28,54,112,300,771,1557,2994,2133,920,442
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",7.0249232393014776,1.558593839378826,41688,185,294,598,1302,3309,7250,13462,9158,3763,2367
CLAMP Gakuen Tanteidan,6.980600181873295,1.6185832023083502,3299,15,26,50,121,306,583,1009,661,331,197
Gegege no Kitarou (1968),7.1923076923076925,1.7031992173449637,338,3,1,5,9,27,56,102,60,40,35
.hack//Roots,7.010290673117536,1.6671685543862054,26043,140,222,394,1049,2421,4367,7525,5401,2823,1701
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,7.013011726818795,1.5536718996159746,61483,288,430,935,1991,4989,10223,19835,14020,5744,3028
Battle Programmer Shirase,7.017827529021559,1.6850027946608739,12060,70,102,186,456,1161,2053,3419,2458,1291,864
ACCA: 13-ku Kansatsu-ka,7.072547139661234,1.5474317942878135,3129,23,26,34,82,222,508,1017,755,312,150
Beet the Vandel Buster,6.944559800664452,1.6348695597266745,4816,26,34,70,208,489,842,1361,1056,463,267
Blassreiter,6.8776346604215455,1.7546876426616658,22204,211,270,462,1106,2081,3712,6174,4701,2223,1264
Fractale,7.020278035217794,1.6338167294017025,26975,140,198,444,1112,2355,4360,7676,6240,3031,1419
gdgd Fairies,6.885294117647059,2.0716526063358085,1020,24,20,28,60,75,160,243,197,107,106
Minami no Niji no Lucy,7.052208835341365,1.6505095782922274,249,2,2,2,3,25,56,67,52,14,26
Hyper Police,6.970471323111869,1.5811324568161975,1761,7,8,27,58,191,303,546,336,194,91
Maria†Holic Alive,7.011349047398963,1.557215870857312,19473,71,145,263,690,1615,3427,5954,4415,1943,950
Namiuchigiwa no Muromi-san,7.009698107304865,1.4743438448253705,12786,46,63,134,367,1109,2304,4110,2962,1161,530
Natsu-iro Kiseki,6.9466057785193644,1.5806398827814117,11387,59,81,176,425,1059,1969,3491,2582,1000,545
Pita Ten,6.985072770245055,1.6702324446049408,8039,48,55,123,312,809,1447,2239,1611,860,535
Sora wo Kakeru Shoujo,6.961986975617144,1.6145005276526503,6603,44,54,94,274,589,1090,1970,1527,661,300
Otogi Juushi Akazukin,6.951464435146444,1.6514694704762352,1195,6,12,16,39,133,221,328,248,118,74
Shin Maple Town Monogatari: Palm Town-hen,7.197841726618705,1.7404608513119555,278,1,4,3,6,25,51,70,56,30,32
Ginga Tetsudou Monogatari: Eien e no Bunkiten,7.073883161512027,1.5630082810696846,582,4,4,6,11,51,93,206,118,46,43
Kiss x Sis (TV),7.031134367144027,1.9017578999477598,141612,1833,2139,3108,5962,11987,22306,35759,28404,16046,14068
Kurozuka,7.052101780221829,1.6183216505282727,21458,111,167,315,810,1790,3448,6177,5151,2281,1208
Ikkyuu-san,7.128526645768025,1.6454843762133091,319,1,2,2,8,41,46,96,61,30,32
Night Walker: Mayonaka no Tantei,7.038854396154616,1.637145317966061,4993,20,37,53,195,504,832,1445,1028,529,350
Shinzou Ningen Casshern,7.001314060446781,1.7052900169679357,761,8,6,6,29,74,135,225,145,71,62
Sumomomo Momomo: Chijou Saikyou no Yome,6.978157167963847,1.6343199428276556,15932,104,154,239,597,1346,2806,4704,3509,1637,836
Starmyu,6.956609605325725,1.8184073108396428,8412,95,102,174,341,802,1421,2270,1663,836,708
Getter Robo,6.971223021582734,1.7137157773706513,834,5,11,19,26,71,146,255,159,82,60
Gate Keepers,6.99408113180309,1.5167967378426543,6927,26,37,92,213,631,1199,2244,1517,653,315
Hai! Akko Desu,7.47191011235955,1.709786028011439,89,1,0,0,2,5,16,25,15,10,15
Honoo no Alpenrose: Judy & Randy,7.115015974440895,1.5965812366153593,313,1,0,2,14,31,54,87,67,30,27
Shingetsutan Tsukihime,7.060589960470948,1.7907510097367394,47054,555,603,882,1915,3629,6708,12625,11043,5890,3204
Shinkon Gattai Godannar!! 2nd Season,7.104575163398692,1.555775235765033,2295,8,17,30,60,185,387,695,524,261,128
Macademi Wasshoi!,7.003988995873453,1.7451400120053455,14540,139,143,251,619,1291,2326,4004,3174,1577,1016
Jinzou Ningen Kikaider The Animation,7.072892938496583,1.7307983314728903,3073,15,33,39,123,320,468,840,614,365,256
Kurogane no Linebarrels,6.896701506719153,1.76732594615354,14734,153,190,316,736,1296,2339,4124,3226,1539,815
Gokukoku no Brynhildr,7.066381638163817,1.7500879119452344,88880,562,1027,1945,3988,6749,13104,24017,20379,10953,6156
Kagaku Ninja-tai Gatchaman,6.990876837303599,1.6080505433475019,1973,4,15,26,69,202,369,586,378,185,139
Net Ghost Pipopa,6.855345911949685,1.7531157455946376,318,1,6,9,15,28,52,97,60,31,19
Mashin Eiyuuden Wataru,7.146341463414634,1.4867049112580593,328,1,0,5,6,30,55,94,87,30,20
Gegege no Kitarou (2007),7.075342465753424,1.6361454442318621,438,2,3,7,14,34,75,144,84,36,39
Kishin Douji Zenki,7.00385423966363,1.6048889046950727,2854,13,18,44,104,278,449,884,628,264,172
Cardfight!! Vanguard: Legion Mate-hen,7.090747961715704,1.7058367305709654,2821,16,23,42,99,259,462,813,551,307,249
Domo-kun,7.194852941176471,2.0334272667007145,272,4,6,4,10,18,48,65,42,30,45
Otogizoushi,7.009685230024213,1.542937718006224,3304,22,13,31,112,294,602,982,780,305,163
Gi(a)rlish Number,7.054922562598076,1.3289228126804042,14657,51,43,75,301,1060,2618,5275,3660,1115,459
Asura Cryin',7.043967708595212,1.6212229261484927,35799,183,250,558,1349,3061,5793,10496,8146,3919,2044
World Destruction: Sekai Bokumetsu no Rokunin,7.044921332073164,1.548563459718195,17987,54,108,235,563,1585,3134,5502,4018,1777,1011
Rockman.EXE Beast+,7.153399668325042,1.6787178884656635,1206,6,9,17,37,93,196,385,228,106,129
Mahou Sensei Negima!,7.026529108327193,1.6748166764272543,42067,237,359,645,1793,3743,6881,11803,9276,4607,2723
Koutetsushin Jeeg,7.076770350761086,1.5802165906618164,1511,8,8,22,50,117,243,480,342,146,95
Hoshi no Oujisama Petit Prince,7.183206106870229,1.6124587773537025,262,1,0,4,7,26,40,76,58,25,25
Lost Universe,7.039579606440071,1.5302549866488622,4472,8,21,48,143,434,790,1393,925,446,264
Genki Bakuhatsu Ganbaruger,7.474137931034483,1.5338772536454446,116,0,0,0,3,9,18,30,27,14,15
Mermaid Melody Pichi Pichi Pitch,6.9907532579895095,1.827696854301769,18493,174,223,323,735,1956,3244,4699,3358,2060,1721
Montana Jones,7.14021164021164,1.6455558098898952,378,4,1,4,12,33,54,111,94,35,30
Starship Operators,7.04215456674473,1.5637357739390256,3843,22,18,48,126,356,630,1117,941,400,185
Muumin,7.0797481636935995,1.950580170253678,953,16,9,16,34,108,139,244,165,93,129
Sousei no Onmyouji,7.102114191669831,1.8483126397487133,39495,314,435,808,1917,3657,5443,9726,8458,4837,3900
Freezing Vibration,7.0691470457574415,1.6715785071631803,45020,258,355,707,1814,3589,7420,12928,9803,4937,3209
Dash! Yonkurou,7.142,1.5639168775865298,500,0,4,2,19,51,71,149,117,49,38
Tenjou Tenge,7.049407575051587,1.658880824709527,60092,296,494,992,2460,5112,9528,17255,13337,6876,3742
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,7.103862382343395,1.5236706432273408,3081,8,20,31,85,244,543,956,696,312,186
Dragon Quest: Abel Yuusha Densetsu,7.125205930807248,1.6519592228327618,607,4,2,6,19,61,97,180,121,62,55
Choujigen Game Neptune The Animation,7.045846193415638,1.8033874387167368,31104,238,344,598,1343,2826,5001,8336,6181,3244,2993
Gakusen Toshi Asterisk,7.087550016464273,1.7796700487053554,100217,1391,1332,1789,3250,6978,13846,29232,23562,11585,7252
Galaxy Angel,7.056385952120549,1.5682255123323958,8229,31,49,105,243,810,1327,2465,1864,878,457
Kamisama Dolls,7.082666098807496,1.509799690875553,23480,77,129,282,801,1802,3655,7448,5814,2392,1080
Jitsu wa Watashi wa,7.104204603580563,1.4574776652965022,48875,142,209,499,1260,3659,8054,16380,11672,4534,2466
Kamen no Maid Guy,7.056912237499145,1.6885285313035463,14619,81,141,229,555,1289,2414,4039,3152,1713,1006
Occultic;Nine,6.943514193316565,1.801536497486197,27830,315,374,669,1358,2179,4249,7622,6245,3157,1662
Oshiete! Galko-chan,7.076938750560332,1.4480242055853085,24539,90,147,240,534,1841,4185,8277,5939,2205,1081
Dr. Slump,7.055491595671195,1.617998761446718,4343,23,25,61,126,379,826,1256,905,421,321
Tongari Boushi no Memole,7.151315789473684,1.4664068827890313,456,0,2,2,9,29,114,130,94,36,40
Hayate no Gotoku! Can't Take My Eyes Off You,7.059116940698319,1.625381531603924,16239,74,127,259,595,1330,2641,4801,3663,1749,1000
Servamp,7.036818801089918,1.7478792022295397,29360,164,261,575,1247,2679,4900,8093,5785,3084,2572
Porphy no Nagai Tabi,7.126016260162602,1.6977908840356253,246,0,2,6,7,23,45,57,59,23,24
Stop!! Hibari-kun!,7.436936936936937,1.572020443665517,222,0,1,3,7,12,32,50,61,38,18
Inazuma Eleven Go: Galaxy,7.10476557978005,1.8098979843921852,5183,42,56,111,194,416,852,1346,1078,557,531
Deltora Quest,6.907275953859805,1.7581879276624919,4508,30,52,73,203,536,752,1246,832,437,347
NG Knight Ramune & 40,7.104166666666667,1.6048236131628544,336,2,1,5,13,21,60,106,67,37,24
Papa to Odorou,7.197478991596639,2.022684886164504,238,5,2,4,9,25,32,48,47,33,33
IS: Infinite Stratos,7.091638518738478,1.6984938983470148,161646,1007,1530,2817,6009,13089,25067,45327,36092,19171,11537
Shinmai Maou no Testament,7.065123880761633,1.7390961733411634,99733,752,1072,1852,3827,7917,15783,28514,21197,10781,8038
Renkin San-kyuu Magical? Pokaan,7.067225654604296,1.5555932108666128,6798,19,43,78,229,587,1202,1947,1608,702,383
Digimon Savers,6.987270098787246,1.7682690816131408,24902,144,278,511,1139,2383,4213,6486,5082,2703,1963
Binan Koukou Chikyuu Bouei-bu LOVE!,6.877508650519031,1.9662559481367379,20230,320,360,517,1042,1987,3187,5122,3698,2092,1905
Densetsu Kyojin Ideon,7.028771929824561,1.720428414796772,1425,11,11,23,56,123,263,388,283,153,114
Hidan no Aria,7.0965921980569115,1.6379658470903598,101385,553,863,1675,3507,7609,15667,30275,23381,11414,6441
Monochrome Factor,6.987635533574282,1.8298109289144049,15771,158,170,333,728,1515,2611,3968,3123,1858,1307
Last Exile: Ginyoku no Fam,7.054227156276687,1.6622745766605924,11710,67,88,195,528,950,1797,3265,2770,1382,668
Onegai! Samia Don,7.270531400966184,1.5709473457196588,207,1,0,1,8,15,33,56,51,24,18
Nils no Fushigi na Tabi,7.122243226212981,1.681712455409949,1587,9,13,16,42,145,308,421,317,164,152
Kyojin no Hoshi,7.287769784172662,1.6104184375878754,139,1,1,0,3,12,18,47,25,19,13
Medarot,7.093901359304203,1.507540477118352,19201,37,87,188,517,1680,3434,5987,4163,1930,1178
Yamato Takeru,7.240663900414938,1.548713150427405,241,0,1,1,10,17,36,79,52,20,25
Rosario to Vampire,7.088012529204858,1.7762507435302886,194745,1309,2065,3705,8235,16843,29924,51633,40209,24221,16601
Giant Gorg,7.202702702702703,1.637646050674563,296,2,1,6,11,19,40,77,89,30,21
Sky Girls,7.033886583679115,1.5733208699279515,7230,28,49,105,247,619,1214,2213,1627,740,388
Thermae Romae,7.131823537112187,1.496614572003822,7639,42,43,73,187,544,1204,2466,1905,811,364
Yume no Crayon Oukoku,7.2181069958847734,1.5810611756749886,243,1,1,2,3,21,46,73,50,19,27
Cardfight!! Vanguard G: Stride Gate-hen,7.155339805825243,1.7495202202423543,824,9,5,18,28,57,114,237,196,85,75
Onegai My Melody Sukkiri♪,7.2898550724637685,1.7328994658393067,276,2,1,4,9,20,44,70,61,32,33
Blue Gender,7.0471440571188575,1.6544085505322106,19048,124,159,260,733,1695,2995,5460,4317,2171,1134
Mushrambo,7.101066925315228,1.597302778204283,5155,16,18,66,158,474,912,1577,986,525,423
Kodomo no Jikan (TV),7.038981212813975,1.85591478193448,34119,576,487,619,1284,2615,5033,8995,7854,4010,2646
Kenyuu Densetsu Yaiba,7.1194598337950135,1.520381653743696,2888,14,10,24,60,240,547,892,614,293,194
Virtua Fighter,7.110470701248799,1.5445033987211798,2082,7,12,19,73,163,328,673,468,204,135
Aura Battler Dunbine,6.997977755308392,1.6510547401020856,989,8,7,15,39,85,165,292,220,101,57
Ryuusei no Rockman Tribe,7.168764302059497,1.595046417065326,1748,4,7,26,40,145,317,524,345,180,160
Terra Formars,7.0610404281719354,1.813655398209065,53997,472,770,1309,2501,3997,7488,13737,12994,6982,3747
Bomberman Jetters,7.035862068965518,1.7807660444631577,725,6,6,17,18,76,129,195,130,79,69
Shinmai Maou no Testament Burst,7.128064151168099,1.733383801150036,50381,346,496,868,1804,3850,7856,14391,10673,5516,4581
Sore ga Seiyuu!,7.07256880733945,1.4090011451084512,10900,40,45,77,235,864,1880,3725,2634,957,443
Usavich,7.116287094547964,1.8607317706401458,2898,48,34,47,85,255,450,684,644,399,252
Anime Himitsu no Hanazono,7.118084227910818,1.574495831226803,1211,6,6,10,29,107,222,368,250,117,96
Blue Seed,7.067323005646446,1.5224631807459734,6907,22,29,68,198,640,1217,2119,1518,701,395
Cyborg 009 (TV),7.063291139240507,1.5622168254289897,1343,2,8,14,49,129,226,396,299,135,85
Captain Future,7.1,1.6622023543078825,960,4,5,9,33,100,172,259,194,94,90
Dennou Boukenki Webdiver,7.156010230179028,1.6242120859515539,391,2,4,2,12,34,61,115,84,49,28
Generator Gawl,7.0920468308437625,1.562454788696582,2477,7,15,27,74,224,445,686,578,273,148
Kakutou Bijin Wulong: Rebirth,7.105263157894737,1.5692685806184814,532,2,0,7,18,43,94,179,94,49,46
Air Master,6.886423094271538,1.8386912319939537,11085,130,179,229,559,1070,1756,2929,2303,1188,742
Seikimatsu Occult Gakuin,7.119867262126287,1.485359568507626,32244,86,157,350,931,2472,5254,9909,8093,3512,1480
Orenchi no Furo Jijou,7.098491808298882,1.69496245995874,26124,138,239,367,842,2373,4485,7228,5271,2993,2188
Ochame na Futago: Claire Gakuin Monogatari,7.12,1.721123663966848,600,6,7,6,15,55,92,173,129,66,51
Mermaid Forest,7.100958126330731,1.5510908056551143,5636,31,37,66,156,437,877,1831,1291,598,312
Ninku,7.017316017316017,1.610209225106447,924,6,4,13,32,80,166,290,183,87,63
Nanatsu-iro★Drops,7.067754424778761,1.7471057107317725,7232,48,65,114,291,670,1210,1931,1465,797,641
Project ARMS,7.068562524347487,1.6373528708650358,2567,12,17,33,104,233,399,747,582,260,180
Punch Line,7.02274445131588,1.6908397116057339,43659,299,441,821,1957,3400,6740,12139,10350,5199,2313
Shin Atashin'chi,6.860082304526749,2.0399737736895522,486,12,11,10,24,43,70,133,85,52,46
Shin Koihime†Musou: Otome Tairan,7.13948157291483,1.5651754865251308,5671,24,30,59,176,460,870,1780,1294,589,389
Shangri-La,6.940131273619307,1.7000208363434073,15083,95,169,316,686,1347,2440,4244,3409,1572,805
Seirei Tsukai no Blade Dance,7.120928645559363,1.6241006288047548,70339,339,504,1025,2301,5537,11061,21046,15803,7774,4949
Strike Witches,7.033872464536657,1.7545171180567436,45258,471,528,874,1746,3568,6822,12828,10247,5078,3096
Tom Sawyer no Bouken,7.1309431021044425,1.602317485431768,1283,7,9,9,27,117,232,387,266,115,114
Tsukuyomi: Moon Phase,7.053854276663147,1.628640766102884,20834,111,155,310,763,1807,3340,6075,4732,2309,1232
.hack//Sign,7.050122042172351,1.7470410710457105,58996,401,552,1067,2543,5490,9111,15642,12766,6927,4497
Kachou Ouji,7.095674201091192,1.660955502553347,5132,31,42,74,174,438,814,1457,1180,551,371
Kemono no Souja Erin: Soushuuhen,7.2894736842105265,1.817532126610797,266,3,1,3,9,17,47,78,36,32,40
Classroom☆Crisis,6.9869705542495115,1.5995070784528533,25097,121,214,422,1010,2231,3872,7368,6209,2638,1012
Tonkatsu DJ Agetarou,7.021282798833819,1.7752301502074535,3430,39,35,78,133,260,512,1032,728,342,271
Street Fighter II V,7.1260437824418865,1.6534641522845728,8862,34,64,120,332,791,1320,2541,2009,943,708
Aldnoah.Zero 2nd Season,7.118257494509984,1.8505767302380023,97905,827,1287,2359,4912,7157,13182,23594,22628,13862,8097
Croket!,7.457142857142857,1.4802095825129848,105,0,1,0,3,2,20,27,27,16,9
Anne Happy♪,7.067668670674682,1.5802820502969561,14970,81,78,187,503,1215,2577,4481,3477,1437,934
Battle Spirits: Brave,7.116666666666666,1.7574896418670127,420,3,3,8,15,36,69,115,85,43,43
Cardfight!! Vanguard G: Next,7.2787456445993035,1.8094798263378178,287,5,2,3,6,20,39,86,61,27,38
Elf wo Karu Mono-tachi,7.07887893672349,1.5505044849458458,6922,39,34,77,225,578,1084,2166,1613,758,348
Devil May Cry,7.103400873210258,1.7314682431560262,103297,523,857,1705,4258,9177,16754,27522,21223,12251,9027
Elf wo Karu Mono-tachi II,7.148870861653147,1.4908856093703082,4561,13,16,38,123,374,752,1417,1043,540,245
Hataraki Man,7.093875100080064,1.4176749830262536,4996,13,25,44,122,377,847,1599,1287,518,164
Hayate no Gotoku! Cuties,7.124210708416227,1.5616842386784726,11561,52,60,156,366,822,1862,3623,2701,1182,737
Kaiketsu Zorori,7.179372197309417,1.6577378179701263,446,3,5,1,14,36,74,128,91,58,36
"Kono Danshi, Mahou ga Oshigoto Desu.",7.1503353204172875,1.678171386365604,5368,41,42,73,151,431,873,1499,1211,609,438
Sousei no Aquarion,7.138858246001103,1.6804838531878523,21756,122,175,333,786,1760,3304,6058,4972,2568,1678
Koisuru Tenshi Angelique: Kagayaki no Ashita,7.18413320274241,1.6211696234437996,2042,12,6,21,61,173,337,592,420,252,168
Chicchana Yukitsukai Sugar,7.04675075404442,1.698926982483707,7294,48,72,85,252,754,1199,2011,1488,851,534
Mermaid Melody Pichi Pichi Pitch Pure,7.145400054490963,1.761148809373731,11011,77,100,144,354,1033,1880,2871,2094,1321,1137
Mahou no Tenshi Creamy Mami,7.1352483542788745,1.614831370217573,1671,7,9,24,29,162,309,458,351,188,134
Nintama Rantarou,7.233128834355829,1.65551894315099,815,8,3,6,15,66,142,241,151,104,79
Ojamajo Doremi,7.15031847133758,1.6188929706025519,10205,36,60,123,238,938,1848,2861,2088,1147,866
Soukou no Strain,7.147922115664051,1.5354673161129824,6882,26,21,73,205,570,1130,2011,1644,794,408
Princess Princess,7.090173858298223,1.6934993816765076,20649,121,198,300,735,1788,3403,5706,4345,2542,1511
Onegai My Melody,7.104754829123328,1.801070667437489,1346,9,12,20,54,134,228,346,240,156,147
Peach Girl,7.039007693089776,1.9094464567020693,29507,380,460,575,1378,2639,4406,7102,6020,3812,2735
PriPara,7.184439608269859,2.012268542208298,1838,29,34,40,69,150,224,441,381,217,253
Seiken Tsukai no World Break,7.110040703151384,1.758917375676101,56261,381,680,1033,2128,4444,8538,15500,12139,6574,4844
B'T X,7.0930742713882795,1.5882438817220548,3191,13,26,32,95,292,528,909,761,336,199
Area 88 (TV),7.109774436090226,1.5432542835538767,3325,19,19,29,98,266,525,1056,769,360,184
Hello! Sandybell,7.132720105124836,1.7522635143236733,1522,10,16,13,45,152,281,387,288,164,166
Anyamal Tantei Kiruminzoo,6.90724946695096,1.8810384510116085,938,12,14,19,44,98,158,238,170,108,77
Asatte no Houkou.,7.112045169385194,1.481925553296471,7970,22,42,66,212,620,1397,2500,1863,835,413
Dog Days'',7.149411234798276,1.5335106101287803,15541,58,68,161,423,1182,2609,4856,3505,1646,1033
Kaibutsu Oujo,7.056925098554533,1.6076255557102503,19025,89,106,261,700,1691,3126,5675,4139,2054,1184
Kimi no Iru Machi,7.117271980279376,1.7658271129270198,30425,286,312,484,1205,2357,4639,8221,6661,3693,2567
Ninja Senshi Tobikage,7.107142857142857,1.5932734881881594,840,5,2,7,28,69,156,258,163,83,69
Dual Parallel! Trouble Adventures,7.148587665050978,1.4929163379123525,5983,20,21,50,168,498,931,1861,1433,691,310
All Out!!,7.174250440917108,1.6326245032324693,8505,36,51,108,311,744,1134,2423,2104,946,648
Sora no Manimani,7.160842327722847,1.365065715579787,13249,30,28,75,251,958,2236,4463,3346,1276,586
Sekai Seifuku: Bouryaku no Zvezda,7.135698984818851,1.491335168710309,32211,109,135,350,971,2364,5032,10087,8110,3496,1557
Shippuu! Iron Leaguer,7.383458646616542,1.780098014160799,133,0,0,4,7,10,12,33,32,17,18
Uta no☆Prince-sama♪ Maji Love Revolutions,7.141408011097624,1.8576057466338634,11534,94,103,209,503,1039,1910,2787,2127,1370,1392
Yakushiji Ryouko no Kaiki Jikenbo,7.126369783166239,1.4273016228119668,4289,19,16,31,99,308,693,1447,1068,426,182
B-gata H-kei,7.137981781110234,1.6180861758055907,121632,544,880,1592,3912,9677,19778,34467,28150,14363,8269
Daisougen no Chiisana Tenshi: Bush Baby,7.191919191919192,1.641282045966754,297,1,2,0,11,26,55,84,55,31,32
Harukanaru Toki no Naka de: Hachiyou Shou,7.101384212495324,1.7066500155277438,5346,36,44,74,185,499,859,1460,1115,651,423
Maria†Holic,7.106266632641901,1.6156997502119854,54862,312,409,751,2003,4162,8485,15860,13319,6433,3128
Kaitou Joker 3rd Season,7.218181818181818,1.7014858321103405,715,5,3,6,28,52,122,201,142,75,81
Madlax,7.055097526643877,1.6566231972889955,9946,47,74,170,386,930,1515,2773,2298,1144,609
Netoge no Yome wa Onnanoko ja Nai to Omotta?,7.143371680464466,1.5313732947046979,74408,274,397,919,2045,5315,11946,23724,17614,7452,4722
Taiho Shichau zo Special,7.181740614334471,1.4423770581128472,1172,3,4,11,24,85,182,394,287,114,68
Tsurikichi Sanpei,7.1275395033860045,1.5759865719846893,886,7,5,9,20,63,149,295,193,77,68
Show By Rock!!,7.018760389456186,1.725722207274861,12633,99,134,230,489,1093,2050,3552,2753,1328,905
Yuusha Tokkyuu Might Gaine,7.1692307692307695,1.6320749489693342,260,0,1,5,8,24,42,72,59,23,26
Chou Mashin Eiyuuden Wataru,7.3031674208144794,1.6265442127537357,221,1,1,3,5,13,39,60,52,23,24
Gamba no Bouken,7.244299674267101,1.6898600875241299,307,4,1,1,9,18,62,80,61,41,30
The iDOLM@STER Cinderella Girls,7.168219749652295,1.5521996690593745,14380,65,79,167,385,1057,2263,4383,3488,1563,930
Cyborg Kuro-chan,7.152852529601723,1.4917407855801736,1858,7,5,17,45,147,310,588,435,189,115
Omamori Himari,7.16067300658376,1.6130207615530339,68350,272,459,895,2099,5291,10945,20218,15237,7726,5208
Uchuu Densetsu Ulysses 31,7.2017699115044245,1.4706558828700704,1130,3,4,8,25,79,207,332,274,130,68
Yuri Kuma Arashi,6.943137560367658,1.9974374145880431,19257,365,348,534,1077,1519,2646,4468,4232,2550,1518
Geragera Boes Monogatari,7.248091603053435,1.679324252730054,524,4,4,4,16,28,97,150,110,52,59
Cobra The Animation,7.0704008221993835,1.6111372221800608,1946,13,12,29,60,179,293,558,491,202,109
Dragon League,7.317391304347826,1.693761487729512,230,3,1,5,2,13,33,63,61,27,22
Kaze no Naka no Shoujo: Kinpatsu no Jeanie,7.2297551789077215,1.5318156749741567,531,2,1,5,10,38,105,147,119,61,43
Hime Chen! Otogi Chikku Idol Lilpri,6.917348608837971,1.8957382234959108,2444,24,44,37,109,306,404,617,394,268,241
Kazemakase Tsukikage Ran,7.1479022034409905,1.463875080265722,3313,8,10,21,90,273,538,1079,746,364,184
Mahou no Stage Fancy Lala,7.110172899075191,1.5404755720880479,2487,9,15,20,64,228,424,750,544,288,145
Loveless,7.068889024563974,1.9396002634349443,49137,632,671,969,2361,4595,7536,11237,9312,6567,5257
Rental Magica,7.049466061126795,1.5423749489959562,16294,74,98,183,550,1405,2642,4966,3967,1620,789
Otome wa Boku ni Koishiteru,7.133642599812466,1.5920968981736483,20263,90,133,247,622,1647,3226,5960,4694,2339,1305
Mokke,6.9386331938633194,1.5619695129726596,2151,13,9,33,76,212,383,655,475,202,93
Cat's Eye,7.147730476458979,1.4174582283954549,3547,6,14,12,75,271,656,1183,753,383,194
Yoroiden Samurai Troopers,7.160344827586207,1.5609340926494955,6380,14,27,65,190,570,1007,1949,1373,709,476
Yami Shibai,7.190671918707541,1.5101633913974553,17517,71,84,162,371,1282,2866,5493,4124,1939,1125
Chain Chronicle: Haecceitas no Hikari,7.216738197424893,1.6115925546988292,2330,13,9,33,70,165,330,718,561,224,207
Yuki no Joou,7.139579349904397,1.6758381410688636,523,4,3,7,11,54,83,142,122,49,48
ChäoS;Child,7.216464535097391,1.7447882585549859,2721,27,23,43,86,187,373,785,624,300,273
Dog Days,7.116293275009359,1.6589680745068476,50751,298,422,737,1741,4169,7842,14379,11664,6010,3489
Dance in the Vampire Bund,7.130236821542345,1.6892729343236408,66548,411,598,1042,2526,5237,9963,18170,15523,8451,4627
Makai Ouji: Devils and Realist,7.116748520824471,1.705269619859451,25859,152,211,411,962,2196,4080,7152,5467,3163,2065
Mahou Shoujo Ikusei Keikaku,7.149778009924262,1.6084948746070329,22974,108,149,372,855,1596,3316,6623,5875,2720,1360
Sakura Trick,7.11990554644267,1.7775124736639967,55477,388,526,1054,2224,4632,8690,14483,11742,6504,5234
