title,score,stdev,num_votes,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
Tetsujin 28-gou (1980),7.032448377581121,1.7870750874764827,339,6,1,8,4,35,56,102,67,25,35
Taimadou Gakuen 35 Shiken Shoutai,7.017944991055456,1.552018175207678,53664,201,374,768,1855,4340,9066,17234,12066,4924,2836
Zettai Shounen,6.930969445492267,1.6637760255948073,2651,18,29,44,108,237,476,757,585,256,141
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.9505309505309505,1.642525346374091,7722,34,63,105,288,812,1479,2183,1491,768,499
Ai no Senshi Rainbowman,7.218978102189781,2.129786420418906,137,2,4,2,3,17,16,31,20,17,25
Futsuu no Joshikousei ga [Locodol] Yattemita.,6.884873385879591,1.4947762795854973,11926,51,60,148,399,1240,2251,3846,2560,920,451
Urara Meirochou,6.95474528057926,1.6911121980926402,3867,20,29,76,151,378,710,1123,770,287,323
Tsukiuta. The Animation,6.788944723618091,1.9788496295920517,3383,48,59,93,180,395,623,793,533,316,343
Super Seisyun Brothers,6.9403659849300325,1.5506852110789995,9290,44,61,117,283,927,1763,2891,1926,811,467
Wellber no Monogatari: Sisters of Wellber Zwei,6.9981060606060606,1.5081835515330302,1056,3,9,13,30,95,176,352,229,107,42
Wakakusa no Charlotte,7.058441558441558,1.6085688282308637,308,2,1,2,2,40,65,89,49,29,29
Hyakka Ryouran: Samurai Bride,6.873446282954635,1.672217381706404,25262,128,244,457,1163,2508,4812,7358,4793,2254,1545
Akai Koudan Zillion,6.825932504440497,1.920692863362933,563,3,9,19,32,65,102,127,99,51,56
Amaenaide yo!! Katsu!!,6.865436311000827,1.6461212574558703,19344,111,173,358,743,2015,3776,5646,3676,1819,1027
Dondon Domeru to Ron,6.945205479452055,1.6439212306472337,292,2,0,6,7,33,59,94,42,23,26
Koihime†Musou,6.822726962690131,1.657870534602614,14661,75,134,281,673,1606,2792,4276,2771,1262,791
Dragon Drive,6.775434974933648,1.650669750795263,6782,37,74,124,288,794,1352,1987,1223,563,340
Patalliro Saiyuuki!,6.7123115577889445,1.8263562272352263,796,13,9,20,45,87,143,207,157,76,39
Hiiro no Kakera,6.805687753917586,1.8460182757943144,25845,212,313,644,1424,3135,4757,6370,4333,2614,2043
Ginyuu Mokushiroku Meine Liebe Wieder,6.8056768558951966,1.6630489967066167,1832,10,25,24,79,215,360,515,350,160,94
Panyo Panyo Di Gi Charat,6.7140522875816995,1.7535953498058723,1224,15,13,19,60,160,235,357,195,89,81
Chousoku Spinner,6.823645320197044,1.6356353407157405,1015,6,9,14,42,104,238,271,193,77,61
Mahou Shoujo Lyrical Nanoha ViVid,6.7781947050239735,1.6832817326034741,4797,40,36,113,216,497,972,1407,881,364,271
Mikagura Gakuen Kumikyoku,6.781770170226812,1.612068883208314,21207,105,166,369,994,2262,4447,6347,3822,1646,1049
Sasami: Mahou Shoujo Club,6.749185667752443,1.7805383810633058,1535,9,23,35,78,199,281,418,246,147,99
Mahou no Yousei Persia,6.80827067669173,1.5108900485356982,266,2,0,2,8,34,64,75,51,16,14
Salad Juu Yuushi Tomatoman,6.919148936170213,1.7178212695121196,235,1,2,2,8,32,50,62,40,11,27
Mahou no Princess Minky Momo: Yume wo Dakishimete,6.853571428571429,1.5822637812543734,280,1,0,4,11,33,68,75,48,20,20
Ribbon no Kishi,6.722222222222222,1.8073708822963925,576,8,6,10,27,76,123,145,87,55,39
Mahou no Princess Minky Momo,6.75,1.6147755261955143,800,4,3,14,31,105,192,219,122,62,48
Kita e.: Diamond Dust Drops,6.713990707279298,1.6449969286027275,1937,17,11,45,84,237,389,569,360,137,88
IGPX: Immortal Grand Prix,6.787234042553192,1.6482777745897914,1034,6,15,11,42,112,230,304,171,85,58
